strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
Spain/MD-IBV-99008605/2020	EPI_ISL_654189	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid														
Spain/MD-IBV-99009619/2020	EPI_ISL_654336	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid														
Spain/MD-IBV-99009629/2020	EPI_ISL_654338	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid														
Spain/MD-IBV-99009630/2020	EPI_ISL_654339	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid														
Mexico/QUE-InDRE-04/2020	EPI_ISL_424670	Instituto de Diagnóstico y Referencia Epidemiologicos		Gisela Barrera Badillo et al (https://dx.doi.org/10.1101/2020.05.27.120402)																	
Mexico/QUE-InDRE-18/2020	EPI_ISL_455456	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		Rodriguez-Maldonado Abril et al																	
Spain/MD-IBV-99008606/2020	EPI_ISL_654190	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid														
Spain/MD-IBV-004897/2020	EPI_ISL_481107	SeqCOVID-SPAIN consortium/IBV(CSIC)		Laura Pérez-Lago et al																	
Spain/MD-IBV-006354/2020	EPI_ISL_510104	SeqCOVID-SPAIN consortium/IBV(CSIC)		Laura Pérez-Lago et al																	
Mexico/CMX-InDRE_03/2020	EPI_ISL_424667	Instituto de Diagnóstico y Referencia Epidemiológicos		Irma López Martínez et al (https://dx.doi.org/10.1101/2020.05.27.120402)																	
Panama/329377/2020	EPI_ISL_496628	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Uruguay/Mdeo-1/2020	EPI_ISL_444493	"Facultad de Ciencias (Sección Genética Evolutiva, Sección Virología)."		Panzera et al																	
Mexico/CMX-INER-0014/2020	EPI_ISL_837616	Instituto Nacional de Enfermedades Respiratorias (INER)		Celia Boukadida et al																	
Mexico/CMX-INER-0019/2020	EPI_ISL_837621	Instituto Nacional de Enfermedades Respiratorias (INER)		Celia Boukadida et al																	
Uruguay/UY-4/2020	EPI_ISL_426479	"Microbial Genomics Laboratory, Institut Pasteur Montevideo"		Cecilia Salazar et al B (https://dx.doi.org/10.1101/2020.05.09.086223)																	
Uruguay/UY-NYUMC869/2020	EPI_ISL_457965	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al																	
Uruguay/UY-9/2020	EPI_ISL_426584	"Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay"		Cecilia Salazar et al B (https://dx.doi.org/10.1101/2020.05.09.086223)																	
Uruguay/UY-NYUMC856/2020	EPI_ISL_457952	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al																	
Uruguay/UY-NYUMC862/2020	EPI_ISL_457958	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al																	
Uruguay/UY-NYUMC860/2020	EPI_ISL_457956	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al																	
Taiwan/NTU01/2020	EPI_ISL_408489	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"		Shiou-Hwei Yeh et al A																	
Belgium/GHB-03021/2020	EPI_ISL_407976	"KU Leuven, Clinical and Epidemiological Virology"		Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)		Asia															
Uganda/UG034/2020	EPI_ISL_737954	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al																	
Uganda/UG027/2020	EPI_ISL_737951	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al																	
Ghana/UHAS-G541/2020	EPI_ISL_648125	UHAS COVID-19 Lab		Kwabena O. Duedu et al																	
Turkey/HSGM-1027/2020	EPI_ISL_437317	Ministry of Health Turkey		Fatma Bayrakdar et al A		Asia															
Benin/1950/2020	EPI_ISL_476830	Charité-Universitätsmedizin Berlin		Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)		Europe															
Australia/QLD03/2020	EPI_ISL_410717	Public Health Virology Laboratory		Ben Huang et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)																	
Australia/QLD01/2020	EPI_ISL_407894	Public Health Virology Laboratory		Ben Huang et al B		Asia															
Australia/VIC07/2020	EPI_ISL_416415	"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)																	
Turkey/HSGM-5770/2020	EPI_ISL_428718	Ministry of Health Turkey		Fatma Bayrakdar et al B (https://dx.doi.org/10.1101/2020.05.15.095794)		Asia															
Mali/M002672/2020	EPI_ISL_487454	Bundeswehr Institut of Microbiology		Kouriba et al																	
Singapore/466/2020	EPI_ISL_475997	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al																	
Australia/QLD04/2020	EPI_ISL_410718	Public Health Virology Laboratory		Ben Huang et al B																	
Nigeria/OS075-CV12/2020	EPI_ISL_455423	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)																	
SierraLeone/KGH-G-8625/2020	EPI_ISL_512816	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al																	
SierraLeone/KGH-G-8790/2020	EPI_ISL_512821	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al																	
SierraLeone/KGH-G-8669/2020	EPI_ISL_512820	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al																	
SierraLeone/KGH-G-8668/2020	EPI_ISL_512819	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al																	
SierraLeone/KGH-G-8626/2020	EPI_ISL_512817	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al																	
Nigeria/OS085-CV14/2020	EPI_ISL_455424	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)																	
CotedIvoire/BKE0016/2020	EPI_ISL_614349	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
Mali/UCRC-31/2020	EPI_ISL_812967	"University Clinical Research Center, University of Sciences"		Diarra et al																	
Jordan/IR-ALSR-2578/2020	EPI_ISL_635777	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
UnitedArabEmirates/4315/2020	EPI_ISL_860075	"BTC, Khalifa University"		Al Safar et al et al																	
Turkey/HSGM-AD17/2020	EPI_ISL_812897	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Oman/89477/2020	EPI_ISL_766570	Oman-National Influenza Center		Samiha Al-Kharusi et al																	
Egypt/CUNCI-HGC9I036/2020	EPI_ISL_857336	"Cancer Biology Department, National Cancer Institute"		Zekri et al																	
Egypt/CUNCI-HGC09I039/2020	EPI_ISL_907096	"Cancer Biology Department, National Cancer Institute"		Zekri et al																	
Nigeria/BCVL-18756/2021	EPI_ISL_985237	Ozer Lab		Ramon Lorenzo-Redondo et al																	
Nigeria/CV816/2021	EPI_ISL_1173243	"African Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University"		Olawoye et al																	
Mali/M002698/2020	EPI_ISL_487457	Bundeswehr Institut of Microbiology		Kouriba et al																	
Egypt/CUNCI-HGC11I023/2021	EPI_ISL_907105	"Cancer Biology Department, National Cancer Institute"		Zekri et al																	
BurkinaFaso/2-009/2020	EPI_ISL_660450	Centre Muraz		Abdoul-Salam Ouedraogo et al																	
BurkinaFaso/2-012/2020	EPI_ISL_660451	Centre Muraz		Abdoul-Salam Ouedraogo et al																	
Ghana/WACCBIP-GS28/2020	EPI_ISL_884849	"Department of Biochemistry, Cell and Molecular Biology, West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana"		Ngoi et al																	
Mali/M002615/2020	EPI_ISL_487447	Bundeswehr Institut of Microbiology		Kouriba et al																	
Senegal/618/2020	EPI_ISL_420077	Institut Pasteur de Dakar		Ndongo Dia et al																	
Gabon/ITM-K011/2020	EPI_ISL_539573	"Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University"		Haruka Abe et al																	
Pakistan/JRCGR-KHI04/2020	EPI_ISL_779264	"Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research"		Shakeel et al																	
Bahrein/BAH-24/2020	EPI_ISL_483638	Erasmus Medical Center		Bas Oude Munnink et al																	
Turkey/HSGM-31242/2020	EPI_ISL_814066	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Turkey/HSGM-31227/2020	EPI_ISL_814065	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Turkey/HSGM-30307/2020	EPI_ISL_814067	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Zambia/ZMB-27674/2020	EPI_ISL_977384	UNZAVET and PATH		Mulenga Mwenda-Chimfwembe et al																	
SaudiArabia/KAUST-JEDDAH467/2020	EPI_ISL_512922	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Fadwa Alofi et al																	
SaudiArabia/KAUST-JEDDAH468/2020	EPI_ISL_512923	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Fadwa Alofi et al																	
Tunisia/5516/2021	EPI_ISL_1208399	"1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia"		Sameh Trabelsi et al																	
Nigeria/BCVL-18912/2021	EPI_ISL_985238	Ozer Lab		Ramon Lorenzo-Redondo et al																	
Slovenia/99407/2021	EPI_ISL_1181840	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/76019/2021	EPI_ISL_1181860	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/76392/2021	EPI_ISL_1181859	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/76280/2021	EPI_ISL_1181861	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/65882/2021	EPI_ISL_1063522	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al																	
Slovenia/68981/2021	EPI_ISL_1063496	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al																	
Slovenia/73271/2021	EPI_ISL_1118864	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/75526/2021	EPI_ISL_1118863	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/61741/2021	EPI_ISL_1063996	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al																	
Slovenia/75819/2021	EPI_ISL_1181856	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/80233/2021	EPI_ISL_1181862	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/73053/2021	EPI_ISL_1181852	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Slovenia/65006/2021	EPI_ISL_1063521	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al																	
Tunisia/COV0010-12/2020	EPI_ISL_463001	Clinical virology		Fares et al (https://dx.doi.org/10.22541/au.159137642.26983355)																	
Belgium/ITM_C2181/2020	EPI_ISL_487433	Institute of Tropical Medicine		Philippe Selhorst et al		Africa															
Belgium/ITM_C2185/2020	EPI_ISL_487436	Institute of Tropical Medicine		Philippe Selhorst et al		Africa															
Benin/2012/2020	EPI_ISL_476831	Charité-Universitätsmedizin Berlin		Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)		Europe															
Tunisia/MHT_2/2020	EPI_ISL_458286	Bundeswehr Institute of Microbiology		Handrick et al																	
Ghana/84162_S45/2020	EPI_ISL_515103	"WACCBIP, University of Ghana"		Ngoi et al																	
Ghana/84438_S50/2020	EPI_ISL_515111	"WACCBIP, University of Ghana"		Ngoi et al																	
Nigeria/BO-CV336/2020	EPI_ISL_730003	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Egypt/MASRI-009/2020	EPI_ISL_483035	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al																	
Nigeria/BO-CV349/2020	EPI_ISL_730014	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
CotedIvoire/BKE0447/2020	EPI_ISL_681837	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
Canada/NB-NML-5590/2021	EPI_ISL_961644	National Microbiology Laboratory (NML)		Anna Majer et al																	
CotedIvoire/BKE0906/2020	EPI_ISL_614390	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
CotedIvoire/BKE0937/2020	EPI_ISL_614392	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
BurkinaFaso/1698/2020	EPI_ISL_660449	Centre Muraz		Abdoul-Salam Ouedraogo et al																	
BurkinaFaso/2-037-1654/2020	EPI_ISL_660453	Centre Muraz		Abdoul-Salam Ouedraogo et al																	
BurkinaFaso/1689/2020	EPI_ISL_660448	Centre Muraz		Abdoul-Salam Ouedraogo et al																	
BurkinaFaso/2-052-1891/2020	EPI_ISL_660527	Centre Muraz		Abdoul-Salam Ouedraogo et al																	
CotedIvoire/BKE0172/2020	EPI_ISL_614357	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
CotedIvoire/BKE0189/2020	EPI_ISL_614360	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
CotedIvoire/BKE0202/2020	EPI_ISL_614362	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
CotedIvoire/BKE0613/2020	EPI_ISL_681838	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
CotedIvoire/BKE0366/2020	EPI_ISL_681834	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
CotedIvoire/BKE0248/2020	EPI_ISL_614365	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al																	
