strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Slovenia/68981/2021	EPI_ISL_1063496	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al														
Slovenia/75526/2021	EPI_ISL_1118863	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al														
Slovenia/65882/2021	EPI_ISL_1063522	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al														
Slovenia/75819/2021	EPI_ISL_1181856	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al														
Slovenia/73053/2021	EPI_ISL_1181852	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al														
Slovenia/80233/2021	EPI_ISL_1181862	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al														
Slovenia/65006/2021	EPI_ISL_1063521	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al														
Slovenia/61741/2021	EPI_ISL_1063996	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al														
Ghana/84162_S45/2020	EPI_ISL_515103	"WACCBIP, University of Ghana"		Ngoi et al														
Egypt/MASRI-009/2020	EPI_ISL_483035	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al														
Tunisia/MHT_2/2020	EPI_ISL_458286	Bundeswehr Institute of Microbiology		Handrick et al														
CotedIvoire/BKE0447/2020	EPI_ISL_681837	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0906/2020	EPI_ISL_614390	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0937/2020	EPI_ISL_614392	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
BurkinaFaso/1698/2020	EPI_ISL_660449	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2-037-1654/2020	EPI_ISL_660453	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/1689/2020	EPI_ISL_660448	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2-052-1891/2020	EPI_ISL_660527	Centre Muraz		Abdoul-Salam Ouedraogo et al														
CotedIvoire/BKE0172/2020	EPI_ISL_614357	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0189/2020	EPI_ISL_614360	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0202/2020	EPI_ISL_614362	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0613/2020	EPI_ISL_681838	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0366/2020	EPI_ISL_681834	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0248/2020	EPI_ISL_614365	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0317/2020	EPI_ISL_614372	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0356/2020	EPI_ISL_681833	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0042/2020	EPI_ISL_614352	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0382/2020	EPI_ISL_681835	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0405/2020	EPI_ISL_614375	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0430/2020	EPI_ISL_681836	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0178/2020	EPI_ISL_614359	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0753/2020	EPI_ISL_614384	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
Ghana/NMIMR-NTRA-14877/2020	EPI_ISL_1018091	"Immunology, Noguchi Memorial Institute for Medical Research"		Adu et al														
CotedIvoire/BKE0916/2020	EPI_ISL_614391	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
BurkinaFaso/609/2020	EPI_ISL_660522	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/588/2020	EPI_ISL_660475	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/1447/2020	EPI_ISL_660447	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/590/2020	EPI_ISL_660476	Centre Muraz		Abdoul-Salam Ouedraogo et al														
CotedIvoire/BKE0424/2020	EPI_ISL_614376	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0880/2020	EPI_ISL_614387	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0633/2020	EPI_ISL_614380	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
BurkinaFaso/2173/2020	EPI_ISL_660508	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2-043-1764/2020	EPI_ISL_660499	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2-060-1985/2020	EPI_ISL_660500	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2679/2020	EPI_ISL_660509	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/1174/2020	EPI_ISL_660478	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2-032-1197/2020	EPI_ISL_660479	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/3567/2020	EPI_ISL_660488	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/3952/2020	EPI_ISL_660489	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2375/2020	EPI_ISL_660524	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2481/2020	EPI_ISL_660502	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2453/2020	EPI_ISL_660485	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2163/2020	EPI_ISL_660512	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2446/2020	EPI_ISL_660484	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2473/2020	EPI_ISL_660486	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2439/2020	EPI_ISL_660483	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2366/2020	EPI_ISL_660482	Centre Muraz		Abdoul-Salam Ouedraogo et al														
Mali/M002672/2020	EPI_ISL_487454	Bundeswehr Institut of Microbiology		Kouriba et al														
Mali/M002618/2020	EPI_ISL_487449	Bundeswehr Institut of Microbiology		Kouriba et al														
DRC/300/2020	EPI_ISL_420841	"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"		Placide Mbala-Kingebeni et al A (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)														
Uganda/UG001/2020	EPI_ISL_451183	MRC/UVRI & LSHTM Uganda Research Unit		Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)														
Uganda/UG002/2020	EPI_ISL_451184	MRC/UVRI & LSHTM Uganda Research Unit		Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)														
Ghana/TTH6/2020	EPI_ISL_515248	"Institute of Virology, Charité – Universitätsmedizin Berlin"		Augustina Sylverken et al														
Ghana/TTH11/2020	EPI_ISL_515183	"Institute of Virology, Charité – Universitätsmedizin Berlin"		Augustina Sylverken et al														
Ghana/TTH10/2020	EPI_ISL_515182	"Institute of Virology, Charité – Universitätsmedizin Berlin"		Augustina Sylverken et al														
Ghana/KATH23/2020	EPI_ISL_515181	"Institute of Virology, Charité – Universitätsmedizin Berlin"		Augustina Sylverken et al														
Ghana/3177_S12/2020	EPI_ISL_422403	"WACCBIP, University of Ghana"		Joyce M. Ngoi et al														
Senegal/620/2020	EPI_ISL_420078	Institut Pasteur de Dakar		Ndongo Dia et al														
Ghana/1651_S3/2020	EPI_ISL_422387	"WACCBIP, University of Ghana"		Joyce M. Ngoi et al														
Senegal/1966/2020	EPI_ISL_480789	Institut Pasteur de Dakar		Ndongo Dia et al														
Mali/M002616/2020	EPI_ISL_487448	Bundeswehr Institut of Microbiology		Kouriba et al														
Mali/M002826/2020	EPI_ISL_487465	Bundeswehr Institut of Microbiology		Kouriba et al														
Mali/M002675/2020	EPI_ISL_487456	Bundeswehr Institut of Microbiology		Kouriba et al														
Iceland/4379/2020	EPI_ISL_828071	deCODE genetics		Daniel F Gudbjartsson et al A														
BurkinaFaso/4307/2020	EPI_ISL_660473	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/3535/2020	EPI_ISL_660521	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/3548/2020	EPI_ISL_660507	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/4215/2020	EPI_ISL_660472	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/4312/2020	EPI_ISL_660519	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/3570/2020	EPI_ISL_660468	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/3573/2020	EPI_ISL_660511	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/3953/2020	EPI_ISL_660497	Centre Muraz		Abdoul-Salam Ouedraogo et al														
CotedIvoire/BKE0011/2020	EPI_ISL_614348	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
Benin/843/2020	EPI_ISL_476829	Charité-Universitätsmedizin Berlin		Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)														
Mali/M002659/2020	EPI_ISL_487451	Bundeswehr Institut of Microbiology		Kouriba et al														
Mali/M002704/2020	EPI_ISL_487460	Bundeswehr Institut of Microbiology		Kouriba et al														
Nigeria/FC-CV559/2020	EPI_ISL_872624	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University"		Oluniyi P.E. et al et al														
SouthKorea/KDCA1453/2020	EPI_ISL_1063687	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al		Africa												
BurkinaFaso/583/2020	EPI_ISL_660474	Centre Muraz		Abdoul-Salam Ouedraogo et al														
CotedIvoire/BKE0761/2020	EPI_ISL_681839	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0862/2020	EPI_ISL_614386	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0965/2020	EPI_ISL_614393	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
BurkinaFaso/1941/2020	EPI_ISL_660505	Centre Muraz		Abdoul-Salam Ouedraogo et al														
CotedIvoire/BKE0820/2020	EPI_ISL_681840	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0706/2020	EPI_ISL_614382	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
CotedIvoire/BKE0712/2020	EPI_ISL_614383	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
Egypt/CUNCI-HGC9I022/2020	EPI_ISL_857332	"Cancer Biology Department, National Cancer Institute"		Zekri et al														
Uganda/UG012/2020	EPI_ISL_451194	MRC/UVRI & LSHTM Uganda Research Unit		Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)														
Gabon/ITM-K027/2020	EPI_ISL_539575	"Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University"		Haruka Abe et al														
Jordan/SR-0336/2020	EPI_ISL_450188	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al														
Benin/461/2020	EPI_ISL_476833	Charité-Universitätsmedizin Berlin		Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)		Europe												
HongKong/HKU-201216-021/2020	EPI_ISL_1034642	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al														
CzechRepublic/NRL_277/2021	EPI_ISL_882953	State Veterinary Institute Prague		Nagy et al		Africa												
UnitedArabEmirates/2002/2020	EPI_ISL_859646	"BTC, Khalifa University"		Al Safar et al et al														
Nigeria/ED06-CV159/2020	EPI_ISL_527877	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al														
Nigeria/ED04-CV158/2020	EPI_ISL_527876	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al														
Uganda/UG017/2020	EPI_ISL_451199	MRC/UVRI & LSHTM Uganda Research Unit		Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)														
Bahrein/BAH-12/2020	EPI_ISL_483553	Erasmus Medical Center		Bas Oude Munnink et al														
Zambia/ZMB-1241/2020	EPI_ISL_977357	UNZAVET and PATH		Mulenga Mwenda-Chimfwembe et al														
Rwanda/NRLNAT1011/2020	EPI_ISL_925849	GIGA Medical Genomics		Yvan Butera et al														
SouthKorea/KDCA1491/2020	EPI_ISL_1063702	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al		Africa												
DRC/04186/2020	EPI_ISL_471411	"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"		Placide Mbala-Kingebeni et al B														
DRC/04187/2020	EPI_ISL_471412	"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"		Placide Mbala-Kingebeni et al B														
Uganda/UG058/2020	EPI_ISL_737931	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Kenya/C44035/2020	EPI_ISL_806572	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi		Githinji et al et al														
Uganda/UG103/2020	EPI_ISL_738010	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Uganda/UG104/2020	EPI_ISL_738011	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Uganda/UG066/2020	EPI_ISL_737940	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Uganda/UG059/2020	EPI_ISL_737975	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Uganda/UG079/2020	EPI_ISL_737990	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Uganda/UG064/2020	EPI_ISL_737980	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Kenya/C29517/2020	EPI_ISL_806635	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi		Githinji et al et al														
